E;mu;ro;k;c;a;mesh_size;L;b;h;t_frontal;t_posterior;t_origen;t_final;t_centro_sup;t_centro_inf;t_lat_sup;t_lat_inf;n_nervios_long;t_nervios_long;n_nervios_transv;t_nervios_transv;prctg_ventana_horizontal;prctg_ventana_vertical;diam_ventana;diam_agujero;L_apoyo;T_amb;h_conv;F;Q
121985031338,40858;0,27590637255460027;7310,275701060891;41,041496333666146;498,0968513339758;1,1851847999043763e-05;0,06000000455740845;11,976889418205246;1,439406029239297;1,4318999729119242;0,06348588554933668;0,06032613644376397;0,05636722682788968;0,05871974452212453;0,03703248595446348;0,03696053536981344;0,23553946733847259;0,21322788612172008;2;0,03721012865006924;17;0,03110037045367062;0,8312143570743501;0,8586810537986457;0,2794871770218015;0,5527610424533487;0,9842675050720573;20,94461054150015;9,656800573691726;9389,881484210491;107,37633127719164
116121663386,00218;0,3240861496701837;6527,998977992684;47,0288259414956;464,0995033197105;1,2579613722614944e-05;0,060000007584532423;12,791973062884063;1,4963072432987392;1,4074289708398282;0,06216984013840556;0,06446361247077584;0,06482178543135524;0,06530079770833254;0,03971261429786682;0,040953089013695716;0,2209342786706984;0,22292800238728522;2;0,0415237056389451;19;0,03156555579230189;0,8853622795268893;0,8012563954479992;0,31186613285914067;0,599819297902286;1,0126156702637674;19,275955985113978;10,530781829729676;9912,691354751587;97,43749067187309
129895020183,17581;0,2915811894088984;7614,8953115567565;44,566685621626675;441,72785752266645;1,1531606518901883e-05;0,06000000120922179;11,404794960236178;1,3270226042047144;1,5692701223306358;0,05407897068187594;0,05431115034967661;0,0595139314904809;0,05560267367586493;0,04374257238954305;0,03826880015432834;0,1986655026189983;0,20884789107739926;3;0,038416244789958;18;0,029763778544962406;0,8007217125035823;0,9374610546417534;0,29095845367759465;0,6474386552721262;0,9383845238015056;21,929680378362537;9,490119569003582;10404,111983254552;104,73234931007028
129654989624,39597;0,304890477899462;6631,02660337463;41,32584291044623;473,27074808627367;1,1321944673992693e-05;0,06000000691644739;10,968282168731093;1,3901851419322193;1,3784828958101571;0,054851718429476025;0,055690586999058725;0,05609267505258322;0,06456502263620496;0,036952132396399974;0,04272627716511487;0,23839398980140686;0,231411701310426;3;0,040776362188160414;18;0,031284786086529494;0,8798512740805745;0,8259436633065342;0,28364312689751386;0,580392751134932;0,9089219089597463;20,515996301919223;9,618928225710988;9753,98064777255;93,58297133818269
118029498960,82281;0,28079373417422177;7716,307966969907;48,283313571475446;449,4472624324262;1,2617724975101649e-05;0,060000004289949734;11,760919173480943;1,4354234558716417;1,5214778454042972;0,06289727053418756;0,06588479716703297;0,06299281423911453;0,05635671351850033;0,040983553856611246;0,03605763237923383;0,21685635667294265;0,21663863268867134;2;0,03916456951200962;17;0,027046013094484806;0,783790437746793;0,8690015092864632;0,3192125044204295;0,6358691547811032;1,0331534372642637;22,250937650352718;10,394214391708374;10311,78511492908;106,13203406333923
124674496147,78162;0,3192137439362705;7025,917382817715;44,28673404548317;415,35989502072334;1,217366947055608e-05;0,060000008566902976;12,704897046089172;1,5179791064597667;1,620342467073351;0,06421167224273086;0,06170044578239322;0,0590400866009295;0,061869822319597007;0,0422733032926917;0,0400345611423254;0,20671421121805908;0,22651076098531484;2;0,04360147602111101;19;0,029573033971711994;0,9335580413788557;0,7923064894229174;0,287610455788672;0,6188108564168215;0,9637408066540957;21,628214552812278;9,29367783293128;10772,343149408698;96,18304643779993
135509990574,79202;0,2951171434856951;7389,385937526822;46,184309667907655;484,9864953197539;1,0612143293641507e-05;0,06000000029498236;11,198174764262513;1,3319845053702593;1,4773541514761745;0,05954226633533836;0,05989979459345341;0,06567070595920087;0,059473830319941044;0,03830279403924942;0,03874983678758144;0,228940036714077;0,2000552280917764;3;0,03645856876671314;18;0,03213132326491177;0,8482198297791183;0,9254020123928784;0,30771933691576125;0,5637006632611156;1,0879475409165025;19,031913912110028;10,69420343451202;9294,639695435762;103,47817240282893
132040335098,2815;0,3271109747886658;7952,060231147334;45,63050050288439;505,8181997612119;1,1638979788765311e-05;0,06000000938712934;12,409100863896311;1,5478479718863964;1,541987895593047;0,06571789998561144;0,057164514496922496;0,057385511197149755;0,05476616994291544;0,039469985559582706;0,03923881076276302;0,22294625120609998;0,2047752541191876;2;0,04100746268779039;18;0,030712883027270436;0,9113736708275973;0,9087932508066296;0,304802323859185;0,6139216268062592;0,9983178351074458;22,816327164508404;9,840571803972125;9619,968893006444;97,77857381850481
121790375839,91885;0,28722334530204535;6859,730643080547;43,733128828927875;434,55435713753104;1,2321291366070508e-05;0,060000001741067045;11,567983647668735;1,3088135469444095;1,398969903588295;0,058036773897707464;0,06122323234006763;0,06427833787724375;0,06316362714394927;0,04343805146962404;0,04153929148614406;0,20205308294296265;0,22163230482116342;3;0,03892760498821735;17;0,027968013821169733;0,8253251502662897;0,7749925589933991;0,29992827504873276;0,5433354108408094;1,0725493649020792;19,965719760395586;10,17856777831912;10064,019083976746;100,01496506854892
115145731437,95132;0,31278381776064634;7528,847810393199;48,8370561003685;445,75367948412895;1,188639213772118e-05;0,06000000601819199;10,62199770528823;1,365017067603767;1,4591834507882595;0,05634549495577812;0,0631794659011066;0,05470756225660443;0,05807096819579601;0,041805072769522666;0,0375472260043025;0,21047312277555466;0,20916054674237966;3;0,042369825966656206;19;0,02862778305262327;0,858381035644561;0,875067515745759;0,3237706000171602;0,5867468204721809;0,9305842440575361;19,597307455167172;9,00958026945591;10601,72938555479;90,11013248935342
