l_r_i,l_r_e,apert_pad_i,c_pad_i,apert_pad_e,c_pad_e,p_pieza,F_total_int,F_total_ext,Q_total_int,Q_total_ext,P_mean_int,P_mean_ext,P_max_int,P_max_ext,P_sd_int,P_sd_ext,h_min_int,h_min_ext,h_mean_int,h_mean_ext,h_max_int,h_max_ext,h_sd_int,h_sd_ext
1.4688167289045972,0.2865609395214217,39.416713460813945,0.03356093804807275,13.9963376260167,0.0377572932663347,89.5013609104517,287838.8830687985,945935.7353916117,3.339602299361416e-05,0.00036423176935059995,449124.8174558351,398135.5060630361,1017965.6991530054,1130617.3558896012,456415.190548893,509892.0460532659,4.489945675252371e-05,6.4266172831445e-05,4.6214696423285104e-05,6.990868277538085e-05,4.7256887359836146e-05,7.409981975582852e-05,6.002686055661844e-07,2.2313592313785165e-06
0.8754055811163557,1.4192911851761298,39.83768557759096,0.032805224147150966,17.993481699453465,0.03160598095698161,25.470841823717695,197188.93530792845,409086.6376296256,6.543339355369215e-05,0.00010413165353119655,301279.53691021324,163998.54336916958,688022.5396548145,337954.7176246231,305634.7217421962,155397.19524465318,6.310311725999334e-05,5.766970015942779e-05,6.399187440297456e-05,5.9139429176527085e-05,6.469618174230533e-05,6.0737752273689845e-05,4.0686882638966355e-07,6.12662162637715e-07
1.4587570296618024,1.451979887509211,39.34033361016679,0.03247279750971384,17.928235787047214,0.027797310876316893,80.78498493934048,341738.9689737705,806614.989884283,3.073713097106969e-05,9.04650720022028e-05,527955.0328308602,315384.9004396682,1208691.9569931494,634806.3423598856,534284.7751075757,290693.0900313109,4.081811657400137e-05,4.168741847006569e-05,4.248827575283254e-05,4.4068816846849423e-05,4.367932439803826e-05,4.626052731965157e-05,7.19370683136641e-07,9.390172844358584e-07
1.4808516466078714,1.4876955461603956,31.70299164817028,0.04486520744317876,10.476734836534007,0.030012925019164798,39.874410564427805,223953.67157434367,523475.5441761225,2.7529126967692907e-05,8.26612198121769e-05,442724.4598189302,244052.92163208034,1372555.8281640015,791762.0598003968,529147.656659923,340058.9216625195,4.826346240609547e-05,4.658293491643899e-05,4.994724326490831e-05,4.9621362941202596e-05,5.180649232817545e-05,5.239950583372264e-05,9.43271178701614e-07,1.3648726950800097e-06
0.6618099151739649,0.2516047237684469,39.64165501951895,0.032871268047462404,13.872995169088506,0.04307566435005716,25.721237646091076,122502.74640392017,486226.9290932562,9.594685748954948e-05,0.0005208766823438851,188441.4260506469,234558.03097258575,429968.2219096156,642401.6624329638,191269.92958263488,274992.8643373623,8.511769109140312e-05,9.860705278362968e-05,8.569120540692136e-05,0.00010192548567371622,8.615617826907739e-05,0.00010487338032053483,2.4149421336082133e-07,1.3996472216776064e-06
0.7224111844338491,1.4696474974567053,38.32555060603372,0.015259577092442078,14.861594336052987,0.04464743973754809,121.43401275297498,630155.7531559475,1610100.553780079,4.342954309673079e-05,4.1676105325958064e-05,951240.1283819504,751638.2494430193,3527488.114610285,24208821.107218813,1204704.0960253626,1916706.012392209,2.1088154467093032e-05,1e-06,3.9148052918184725e-05,4.185764612305652e-05,5.1448059469190375e-05,0.00011974063301259098,6.921995202727608e-06,2.5776168206282977e-05
1.3851103852922275,0.28112820996151244,25.445174980888492,0.015661400812300188,12.82442879290192,0.03847565379033721,30.933634897049025,86253.27648655445,573558.9959916312,4.669968975980016e-05,0.00044155428084183886,160134.833559391,247885.25911895002,377772.74702541274,769068.0577276559,179729.3973829501,339354.84703239147,5.8156220857044604e-05,8.466373713267563e-05,5.876845305202689e-05,8.853866781700437e-05,5.9317323262165566e-05,9.201248328163319e-05,3.140469054257541e-07,1.6402424336631347e-06
0.8557953989589495,0.7922727993672443,25.36308244735911,0.023624326312889108,17.99475485880575,0.04486171276729997,89.7213261216242,321917.83215939574,914011.7473227425,3.898140297573896e-05,0.0001470292405712022,653432.2748695804,411044.53906632104,1654896.5516767802,907569.0350944779,718351.9669593481,389676.1808016957,3.814829462923019e-05,5.13874599635758e-05,4.0845349808355465e-05,5.5368132626871876e-05,4.295771135626668e-05,5.8490572988974706e-05,1.3461780795946954e-06,1.6224115417621454e-06
1.4278020402343246,1.499476962046112,32.618145106619046,0.03357934666344741,14.394111561638434,0.015846799319259752,93.09057788355888,391051.04721555434,877897.4661800525,2.1794807156141853e-05,8.317500743455097e-05,642575.2821788734,378431.8804683434,1770149.0361697597,756576.2791883253,754857.9243037332,367429.53204873495,3.3752593888917886e-05,3.117245594892873e-05,3.6138934152416904e-05,3.473206229058002e-05,3.824084089988824e-05,3.7334095940065786e-05,1.226412206326932e-06,1.2916964338927148e-06
1.0111286666799222,1.0038837354421029,26.05921079693129,0.04365042035160921,17.682924160810053,0.02961439768195999,116.00864160353598,372616.50417080516,1120928.7703164853,3.4497069780591562e-06,0.00011545413243847776,781496.2267738951,451464.926445614,2884192.6890040687,916659.0171039025,1088660.7158760538,422816.2289347749,1.880414952664029e-05,3.876666761354326e-05,2.187534251259985e-05,4.330361923003187e-05,2.613796510926713e-05,4.6785637242587386e-05,2.1207247998359395e-06,1.7897673514832965e-06
